codigo,nombre,descripcion,precio_compra,precio_compra_anterior,precio_venta,costo_promedio,stock,imagen,categoria
LB-001,Refrigerador Samsung 320L No Frost,Refrigerador de doble puerta con sistema No Frost,1450.00,,2100.00,1775.00,20,https://i.ibb.co/VcB0L9zs/Product-family-item-image-image-4-Ju-PHt1-Wv-Ow-Dnm-Yh-Z6r-A.png,Línea Blanca
LB-002,Refrigerador LG Inverter 400L,Refrigerador de alta eficiencia con motor Inverter,1600.00,,2350.00,1975.00,25,https://i.ibb.co/qMzRDYxn/Untitled-design-16.jpg,Línea Blanca
LB-003,Freezer Electrolux Horizontal 200L,Freezer horizontal compacto de bajo consumo,1200.00,,1790.00,1495.00,12,https://i.ibb.co/BHVQbwfp/D-938001-MLA79559169804-102024-F.jpg,Línea Blanca
LB-004,Cocina Mabe 5 Hornallas Inox,Cocina a gas de acero inoxidable con horno amplio,1150.00,,1690.00,1420.00,30,https://i.ibb.co/VYz8HH4V/COOK-EME7690-CFYX1-CONT-003.png,Línea Blanca
LB-005,Microondas Panasonic 30L Digital,Microondas digital de 30 litros con función grill,350.00,,580.00,465.00,18,https://i.ibb.co/mCmNbZVv/d6574aa2d94212c207192bc797ea10f8.jpg,Línea Blanca
LB-006,Lavadora LG 16Kg Carga Superior,Lavadora automática con motor Smart Inverter,1350.00,,1990.00,1670.00,10,https://i.ibb.co/k28Nb2mT/thum-1600x1062.jpg,,Línea Blanca
LB-007,Lavadora-Secadora Samsung 11/7Kg Digital Inverter,Lavadora-secadora digital de bajo consumo,1800.00,,2590.00,2195.00,15,https://i.ibb.co/Sw4mymT8/cl-combo-wd80m4453jwef-wd11m4473mw-zs-533091750-Q90-1164-776-PNG.png,Línea Blanca
LB-008,Horno Eléctrico Oster 45L,Horno eléctrico de 45L con convección,400.00,,640.00,520.00,22,https://i.ibb.co/tpqfyxHD/image-375b48a6c423467b9018fd1de584e47f.jpg,Línea Blanca
LB-009,Campana Extractora Indurama 90cm,Campana extractora de acero inoxidable de 3 velocidades,380.00,,590.00,485.00,16,https://i.ibb.co/XQBKKv6/155627-1200-auto-v-638805088121600000-width-1200-height-auto-aspect-true.jpg,Línea Blanca
LB-010,Lavavajillas Whirlpool 12 Servicios,Lavavajillas automático de 12 servicios,1550.00,,2250.00,1900.00,8,https://i.ibb.co/h12Gdjt3/156900-1200-auto-v-638762714713530000-width-1200-height-auto-aspect-true.jpg,Línea Blanca
LB-011,Refrigerador Side-by-Side Hisense 570L,Refrigerador grande con dispensador de agua y hielo,2100.00,,3090.00,2595.00,9,https://i.ibb.co/cX3b3J7b/570-LEFMRFGS-570-L-Side-By-Side-Refrigerator-EFM-unique-870c1a8.jpg,Línea Blanca
LB-012,Microondas LG Grill 28L,Microondas digital con grill y temporizador,370.00,,540.00,455.00,14,https://i.ibb.co/mrbpR04V/zoom02.jpg,Línea Blanca
LB-013,Horno Empotrable Bosch Serie 4,Horno empotrable multifunción de acero inoxidable,1300.00,,1990.00,1645.00,6,https://i.ibb.co/21hdbsr8/licensed-image-q-tbn-ANd9-Gc-S68c-Vr0f-Crt8vd5xzv-BHK-c-Ugg0-LEIdr-MGY52m-FU16-J5-Pge6f-Pcy81n-NGi-E.jpg,Línea Blanca
LB-014,Campana Extractora Teka Pared 75cm,Campana decorativa con filtro metálico,410.00,,640.00,525.00,18,https://i.ibb.co/pvFZ9LpB/8421152069639-a.jpg,Línea Blanca
LB-015,Freezer Vertical Mabe 250L,Freezer vertical con control de temperatura digital,1250.00,,1860.00,1555.00,13,https://i.ibb.co/LXGkLrPf/Mabe-Refrigeradores-250-L-dark-silver-RMA250-FYMRQ0-Derecha.jpg,Línea Blanca
LB-016,Cocina Eléctrica Thomas Cerámica 2 Hornallas,Cocina eléctrica con superficie vitrocerámica,460.00,,680.00,570.00,20,https://i.ibb.co/CK21bFVd/s-l1600.webp,Línea Blanca
LB-017,Refrigerador Compacto Daewoo 90L,Refrigerador pequeño ideal para oficina o dormitorio,590.00,,890.00,740.00,25,https://i.ibb.co/cXhQkr2p/D-NQ-NP-2-X-723485-MCO93068179310-092025-F.webp,Línea Blanca
LB-018,Lavadora Automática Samsung 19Kg,Lavadora digital de alta capacidad,1600.00,,2450.00,2025.00,8,https://i.ibb.co/WWm4003y/20827319.jpg,Línea Blanca
LB-019,Secadora Whirlpool Gas 15Kg,Secadora a gas de alta eficiencia,1350.00,,1990.00,1670.00,12,https://i.ibb.co/DfN4Xmfw/3dwgd4815fw-standalone-3000x3000.jpg,Línea Blanca
LB-020,Horno Eléctrico Thomas 60L Digital,Horno eléctrico digital con temporizador,650.00,,940.00,795.00,16,https://i.ibb.co/XfZb2pPR/w-1500-h-1500-fit-pad.webp,Línea Blanca
LB-021,Cocina Whirlpool 6 Hornallas Inox,Cocina de 6 hornallas con horno autolimpiante,1250.00,,1790.00,1520.00,7,https://i.ibb.co/5hrGL9bh/NEVADA.png,Línea Blanca
#✅ Creada categoría: Electrohogar
EH-001,Licuadora Oster 10 Velocidades 600W,Licuadora clásica de 1.5L con vaso de vidrio templado,320.00,,480.00,400.00,25,https://i.ibb.co/chp9QRsB/004172-051-000-1.jpg,Electrohogar
EH-002,Batidora Philips DailyMix 400W,Batidora de mano con vaso medidor de 700ml,180.00,,290.00,235.00,40,https://i.ibb.co/M5xv9Kxg/157196-1200-auto-v-638225373667930000-width-1200-height-auto-aspect-true.jpg,Electrohogar
EH-003,Aspiradora Samsung 1800W Bolsa Reutilizable,Aspiradora potente con filtro HEPA,450.00,,690.00,570.00,18,https://i.ibb.co/Q32TfJNk/aspiradora-samsung-vc18m3110-foto1.webp,Electrohogar
EH-004,Aspiradora Robot Xiaomi Mi Vacuum 2,Aspiradora robot inteligente con mapeo láser,1250.00,,1790.00,1520.00,8,https://i.ibb.co/k7h0vCp/licensed-image-q-tbn-ANd9-Gc-TBXC64y-HNAQ2i-Pj-CQh-Gm-GYk3-IGz-NTzv4t-Czi7-Ja-NHJy6p-BAb-WHi-ZUt5nik.jpg,Electrohogar
